country,Confirmed,Deaths,Recovered,Active,new_cases,new_deaths,new_recovered,confirmed_last_week,one_week_change,one_week_percent_increase,who_region,mortality_rate,recovery_rate,weekly_growth_rate,active_ratio
Mozambique,1701,11,0,1690,32,0,0,1507,194,12.87,Africa,0.65,0.0,12.87,0.99
Namibia,1843,8,101,1734,68,0,26,1344,499,37.13,Africa,0.43,5.48,37.13,0.94
Nepal,18752,48,13754,4950,139,3,626,17844,908,5.09,South-East Asia,0.26,73.35,5.09,0.26
Netherlands,53413,6160,189,47064,419,1,0,52132,1281,2.46,Europe,11.53,0.35,2.46,0.88
New Zealand,1557,22,1514,21,1,0,1,1555,2,0.13,Western Pacific,1.41,97.24,0.13,0.01
Nicaragua,3439,108,2492,839,0,0,0,3147,292,9.28,Americas,3.14,72.46,9.28,0.24
Niger,1132,69,1027,36,0,0,0,1105,27,2.44,Africa,6.1,90.72,2.44,0.03
Nigeria,41180,860,18203,22117,648,2,829,37225,3955,10.62,Africa,2.09,44.2,10.62,0.54
North Macedonia,10213,466,5564,4183,127,6,137,9249,964,10.42,Europe,4.56,54.48,10.42,0.41
Norway,9132,255,8752,125,15,0,0,9034,98,1.08,Europe,2.79,95.84,1.08,0.01
Oman,77058,393,57028,19637,1053,9,1729,68400,8658,12.66,Eastern Mediterranean,0.51,74.01,12.66,0.25
Pakistan,274289,5842,241026,27421,1176,20,3592,266096,8193,3.08,Eastern Mediterranean,2.13,87.87,3.08,0.1
Panama,61442,1322,35086,25034,1146,28,955,54426,7016,12.89,Americas,2.15,57.1,12.89,0.41
Papua New Guinea,62,0,11,51,0,0,0,19,43,226.32,Western Pacific,0.0,17.74,226.32,0.82
Paraguay,4548,43,2905,1600,104,2,111,3748,800,21.34,Americas,0.95,63.87,21.34,0.35
Peru,389717,18418,272547,98752,13756,575,4697,357681,32036,8.96,Americas,4.73,69.93,8.96,0.25
Philippines,82040,1945,26446,53649,1592,13,336,68898,13142,19.07,Western Pacific,2.37,32.24,19.07,0.65
Poland,43402,1676,32856,8870,337,5,103,40383,3019,7.48,Europe,3.86,75.7,7.48,0.2
Portugal,50299,1719,35375,13205,135,2,158,48771,1528,3.13,Europe,3.42,70.33,3.13,0.26
Qatar,109597,165,106328,3104,292,0,304,107037,2560,2.39,Eastern Mediterranean,0.15,97.02,2.39,0.03
Romania,45902,2206,25794,17902,1104,19,151,38139,7763,20.35,Europe,4.81,56.19,20.35,0.39
Russia,816680,13334,602249,201097,5607,85,3077,776212,40468,5.21,Europe,1.63,73.74,5.21,0.25
Rwanda,1879,5,975,899,58,0,57,1629,250,15.35,Africa,0.27,51.89,15.35,0.48
